Date,Open,High,Low,Close,Adj Close,Volume
2022-09-14,14695.190430,14699.780273,14522.700195,14658.309570,14658.309570,2515900
2022-09-15,14647.000000,14750.280273,14624.549805,14670.040039,14670.040039,2703700
2022-09-16,14602.160156,14602.160156,14521.650391,14561.759766,14561.759766,3637300
2022-09-19,14567.269531,14585.059570,14424.330078,14425.679688,14425.679688,2314800
2022-09-20,14474.950195,14558.719727,14461.389648,14549.299805,14549.299805,2436500
2022-09-21,14517.339844,14525.459961,14384.110352,14424.519531,14424.519531,2716200
2022-09-22,14325.669922,14325.669922,14151.799805,14284.629883,14284.629883,3106100
2022-09-23,14231.030273,14277.530273,14109.709961,14118.379883,14118.379883,2584800
2022-09-26,13993.419922,13993.419922,13743.190430,13778.190430,13778.190430,3149000
2022-09-27,13812.990234,13862.839844,13732.320313,13826.589844,13826.589844,2722800
2022-09-28,13816.700195,13854.089844,13466.070313,13466.070313,13466.070313,3481100
2022-09-29,13550.700195,13651.290039,13462.570313,13534.259766,13534.259766,2992600
2022-09-30,13409.650391,13466.820313,13274.719727,13424.580078,13424.580078,2822000
2022-10-03,13359.259766,13440.230469,13273.480469,13300.480469,13300.480469,2183300
